#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
129,IvoryCoast,81467,,792,,79816,,859,,2967,29,1414287,51507,27458300,Africa,337,34670,19,,,31
130,Suriname,78092,+22,1316,+1,49354,+1,27422,3,131174,2211,228157,383244,595331,SouthAmerica,8,452,3,37,2,46062
131,FrenchGuiana,77652,,391,,11254,,66007,6,249299,1255,591966,1900488,311481,SouthAmerica,4,797,1,,,211913
132,Malta,71235,+56,604,+2,69505,+65,1126,3,160624,1362,1211456,2731648,443489,Europe,6,734,0,126,5,2539
133,Eswatini,69130,+5,1390,,67643,+25,97,11,58583,1178,477146,404346,1180043,Africa,17,849,2,4,,82
134,FrenchPolynesia,65583,,638,,,,,7,231255,2250,,,283596,Australia/Oceania,4,445,,,,110880
135,Fiji,63756,,833,,61890,,1033,,70278,918,496558,547355,907196,Australia/Oceania,14,1089,2,,,1139
136,Madagascar,63659,,1366,,58677,,3616,61,2205,47,398434,13802,28867987,Africa,453,21133,72,,,125
137,Guyana,62891,,1220,,60929,,742,10,79324,1539,538535,679253,792834,SouthAmerica,13,650,1,,,936
138,Sudan,61376,,3901,,40329,,17146,,1348,86,562941,12361,45542220,Africa,742,11674,81,,,376
139,Brunei,59447,+3962,121,+4,31022,+3495,28304,,133766,272,712994,1604354,444412,Asia,7,3673,1,8915,9,63689
140,Mauritania,58632,+3,979,,57602,+5,51,30,12085,202,743798,153306,4851716,Africa,83,4956,7,0.6,,11
141,Belize,56597,,650,,54453,,1494,6,138187,1587,499451,1219458,409568,NorthAmerica,7,630,1,,,3648
142,CaboVerde,55882,+1,401,,55409,+2,72,23,98735,709,400982,708474,565980,Africa,10,1411,1,2,,127
143,Barbados,55031,+129,315,+2,52253,,2463,,191108,1094,584756,2030706,287957,NorthAmerica,5,914,0,448,7,8553
144,Syria,54480,+100,3071,+3,46933,+205,4476,,2993,169,146269,8035,18203608,Asia,334,5928,124,5,0.2,246
145,NewCaledonia,53007,,299,,42318,,10390,35,182758,1031,98964,341208,290040,Australia/Oceania,5,970,3,,,35823
146,ChannelIslands,50384,,143,,47633,,2608,,285437,810,1207943,6843288,176515,Europe,4,1234,0,,,14775
147,Gabon,47534,+14,303,,46155,+412,1076,1,20555,131,1569625,678734,2312576,Africa,49,7632,1,6,,465
148,PapuaNewGuinea,41038,,638,,38856,,1544,7,4447,69,249149,27001,9227358,Australia/Oceania,225,14463,37,,,167
149,Seychelles,39181,,160,,38481,,540,,394354,1610,,,99355,Africa,3,621,,,,5435
150,Curaçao,38933,+18,261,,38352,+46,320,3,235666,1580,492011,2978203,165204,NorthAmerica,4,633,0,109,,1937
