"Country,Other",Continent,TotalCases,NewCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,New Cases/1M pop,Active Cases/1M pop
Oman,Asia,381381,563.0,4242.0,367204.0,9935.0,57.0,71670.0,797.0,25000000.0,4698051.0,5321356.0,106.0,1867.0
BosniaandHerzegovina,Europe,370652,-1.0,15411.0,192218.0,163023.0,-1.0,114151.0,4746.0,1694736.0,521933.0,3247038.0,-1.0,50207.0
Qatar,Asia,356671,308.0,668.0,352553.0,3450.0,23.0,127028.0,238.0,3372268.0,1201034.0,2807805.0,110.0,1229.0
Kenya,Africa,322930,24.0,5639.0,303248.0,14043.0,4.0,5795.0,101.0,3368063.0,60435.0,55730036.0,0.4,252.0
Cyprus,Asia,320160,1387.0,854.0,124370.0,194936.0,60.0,262017.0,699.0,9477138.0,7756029.0,1221906.0,1135.0,159534.0
Zambia,Africa,312707,96.0,3952.0,306846.0,1909.0,3.0,16257.0,205.0,3268486.0,169923.0,19235057.0,5.0,99.0
NorthMacedonia,Europe,297081,378.0,9001.0,283908.0,4172.0,-1.0,142606.0,4321.0,1889266.0,906892.0,2083232.0,181.0,2003.0
Réunion,Africa,292126,-1.0,640.0,274185.0,17301.0,40.0,322475.0,706.0,1424291.0,1572261.0,905887.0,-1.0,19098.0
Albania,Europe,271527,102.0,3464.0,265275.0,2788.0,13.0,94523.0,1206.0,1742017.0,606426.0,2872595.0,36.0,971.0
Algeria,Africa,264855,77.0,6831.0,177437.0,80587.0,14.0,5865.0,151.0,230861.0,5112.0,45160878.0,2.0,1784.0
Botswana,Africa,263950,-1.0,2619.0,259434.0,1897.0,1.0,108614.0,1078.0,2026898.0,834060.0,2430159.0,-1.0,781.0
Nigeria,Africa,254525,24.0,3142.0,249013.0,2370.0,11.0,1186.0,15.0,4317621.0,20121.0,214587291.0,0.1,11.0
Uzbekistan,Asia,236299,125.0,1633.0,232597.0,2069.0,23.0,6895.0,48.0,1377915.0,40206.0,34271752.0,4.0,60.0
Zimbabwe,Africa,235975,172.0,5394.0,226069.0,4512.0,12.0,15503.0,354.0,2078325.0,136544.0,15220902.0,11.0,296.0
Montenegro,Europe,230120,109.0,2676.0,225847.0,1597.0,60.0,366318.0,4260.0,1168531.0,1860132.0,628198.0,174.0,2542.0
Mozambique,Africa,225038,2.0,2192.0,219321.0,3525.0,13.0,6881.0,67.0,1268201.0,38779.0,32702989.0,0.06,108.0
Kyrgyzstan,Asia,200478,20.0,2956.0,195056.0,2466.0,131.0,29912.0,441.0,1907195.0,284560.0,6702266.0,3.0,368.0
Luxembourg,Europe,181903,-1.0,988.0,171378.0,9537.0,8.0,282974.0,1537.0,4064929.0,6323529.0,642826.0,-1.0,14836.0
Afghanistan,Asia,173565,385.0,7596.0,155919.0,10050.0,1124.0,4298.0,188.0,889889.0,22039.0,40378143.0,10.0,249.0
HongKong,Asia,171314,26026.0,659.0,13232.0,157423.0,16.0,22548.0,87.0,36260319.0,4772573.0,7597646.0,3426.0,20720.0
Maldives,Asia,169632,484.0,297.0,154246.0,15089.0,25.0,304933.0,534.0,2183549.0,3925178.0,556293.0,870.0,27124.0
Uganda,Africa,163250,34.0,3588.0,99990.0,59672.0,56.0,3392.0,75.0,2457240.0,51056.0,48128415.0,0.7,1240.0
Ghana,Africa,159124,-1.0,1442.0,157133.0,549.0,1.0,4950.0,45.0,2305405.0,71717.0,32145660.0,-1.0,17.0
Namibia,Africa,157210,17.0,4007.0,152694.0,509.0,2.0,60072.0,1531.0,953850.0,364479.0,2617022.0,6.0,194.0
ElSalvador,NorthAmerica,147786,-1.0,4068.0,123870.0,19848.0,153.0,22596.0,622.0,1693464.0,258925.0,6540376.0,-1.0,3035.0
Laos,Asia,142609,135.0,621.0,7660.0,134328.0,-1.0,19142.0,83.0,1000342.0,134270.0,7450238.0,18.0,18030.0
Cambodia,Asia,129920,372.0,3032.0,123353.0,3535.0,-1.0,7597.0,177.0,2859086.0,167180.0,17101809.0,22.0,207.0
Rwanda,Africa,129489,4.0,1457.0,45522.0,82510.0,1.0,9604.0,108.0,4832169.0,358388.0,13483084.0,0.3,6120.0
Jamaica,NorthAmerica,127961,45.0,2813.0,76703.0,48445.0,25.0,42903.0,943.0,848470.0,284477.0,2982561.0,15.0,16243.0
TrinidadandTobago,NorthAmerica,127404,470.0,3622.0,102045.0,21737.0,18.0,90551.0,2574.0,627706.0,446134.0,1406989.0,334.0,15449.0
Guadeloupe,NorthAmerica,126642,-1.0,837.0,2250.0,123555.0,19.0,316418.0,2091.0,938039.0,2343709.0,400237.0,-1.0,308705.0
Iceland,Europe,123373,-1.0,61.0,75685.0,47627.0,2.0,357697.0,177.0,1742976.0,5053437.0,344909.0,-1.0,138086.0
Cameroon,Africa,119240,-1.0,1923.0,117089.0,228.0,13.0,4314.0,70.0,1751774.0,63382.0,27638422.0,-1.0,8.0
Martinique,NorthAmerica,112901,-1.0,876.0,104.0,111921.0,16.0,301244.0,2337.0,678821.0,1811237.0,374783.0,-1.0,298629.0
Angola,Africa,98701,-1.0,1899.0,96622.0,180.0,-1.0,2856.0,55.0,1424011.0,41209.0,34555986.0,-1.0,5.0
NewZealand,Australia/Oceania,86138,15016.0,56.0,18114.0,67968.0,-1.0,17220.0,11.0,6688455.0,1337129.0,5002100.0,3002.0,13588.0
DRC,Africa,85999,-1.0,1335.0,50930.0,33734.0,-1.0,914.0,14.0,846704.0,9002.0,94061790.0,-1.0,359.0
Senegal,Africa,85676,10.0,1960.0,83622.0,94.0,2.0,4903.0,112.0,1013487.0,58002.0,17473411.0,0.6,5.0
Malawi,Africa,85328,14.0,2615.0,75578.0,7135.0,67.0,4278.0,131.0,546116.0,27378.0,19947226.0,0.7,358.0
IvoryCoast,Africa,81467,-1.0,792.0,79816.0,859.0,-1.0,2967.0,29.0,1414287.0,51507.0,27458300.0,-1.0,31.0
Suriname,SouthAmerica,78092,22.0,1316.0,49354.0,27422.0,3.0,131174.0,2211.0,228157.0,383244.0,595331.0,37.0,46062.0
FrenchGuiana,SouthAmerica,77652,-1.0,391.0,11254.0,66007.0,6.0,249299.0,1255.0,591966.0,1900488.0,311481.0,-1.0,211913.0
Malta,Europe,71235,56.0,604.0,69505.0,1126.0,3.0,160624.0,1362.0,1211456.0,2731648.0,443489.0,126.0,2539.0
Eswatini,Africa,69130,5.0,1390.0,67643.0,97.0,11.0,58583.0,1178.0,477146.0,404346.0,1180043.0,4.0,82.0
FrenchPolynesia,Australia/Oceania,65583,-1.0,638.0,-1.0,-1.0,7.0,231255.0,2250.0,-1.0,-1.0,283596.0,-1.0,110880.0
Fiji,Australia/Oceania,63756,-1.0,833.0,61890.0,1033.0,-1.0,70278.0,918.0,496558.0,547355.0,907196.0,-1.0,1139.0
Madagascar,Africa,63659,-1.0,1366.0,58677.0,3616.0,61.0,2205.0,47.0,398434.0,13802.0,28867987.0,-1.0,125.0
Guyana,SouthAmerica,62891,-1.0,1220.0,60929.0,742.0,10.0,79324.0,1539.0,538535.0,679253.0,792834.0,-1.0,936.0
Sudan,Africa,61376,-1.0,3901.0,40329.0,17146.0,-1.0,1348.0,86.0,562941.0,12361.0,45542220.0,-1.0,376.0
Brunei,Asia,59447,3962.0,121.0,31022.0,28304.0,-1.0,133766.0,272.0,712994.0,1604354.0,444412.0,8915.0,63689.0
Mauritania,Africa,58632,3.0,979.0,57602.0,51.0,30.0,12085.0,202.0,743798.0,153306.0,4851716.0,0.6,11.0
Belize,NorthAmerica,56597,-1.0,650.0,54453.0,1494.0,6.0,138187.0,1587.0,499451.0,1219458.0,409568.0,-1.0,3648.0
CaboVerde,Africa,55882,1.0,401.0,55409.0,72.0,23.0,98735.0,709.0,400982.0,708474.0,565980.0,2.0,127.0
